LAB_ID,X,Y,Bulk_density,Carbon,Clay,Sand
CT258-6769,714125,81375,1.254522293,0.805,13.94605395,66.07392607
CT258-6743,715375,81375,1.197452229,1.436,37.5924815,52.4095181
CT258-6811,716875,81375,1.487898089,1.59,26.29370629,69.71028971
CT258-6963,713375,81625,1.425732484,0.929,29.9061689,52.12617289
CT258-6687,712125,81875,1.24433121,0.981,31.58736505,58.41663335
CT258-6725,713125,81875,1.238216561,1.32,33.58656537,54.41823271
CT258-6777,715875,82125,0.990573248,3.7,35.4045954,28.63136863
CT258-6671,711375,82375,1.171974522,1.161,33.58656537,56.41743303
CT258-6923,712375,82375,1.355414013,1.485,27.94323406,62.06276234
CT258-6761,714875,82375,1.411464968,1.522,33.94642143,54.05837665
CT258-6691,713875,82625,1.276942675,0.931,23.6,70.4
CT258-6873,712375,82875,1.153630573,1.616,27.96,58.04
CT258-6661,713125,82875,1.12,1.619,23.59056377,60.41583367
CT258-6653,711375,83375,1.259617834,1.297,43.58256697,50.41983207
