FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
104526-9,MAYUYA,-2.65058,32.71411,Lake,Mwanza,Sengerema District Council,Mayuya Dispensary,1269,Dispensary,Public,Operating
104527-7,MAZAE,-6.3443,36.4563,Central,Dodoma,Mpwapwa District Council,,1002,Dispensary,Public,Operating
104529-3,MAZINDE,-4.811287,38.212708,Northern,Tanga,Korogwe District Council,MAZINDE,,Dispensary,Public,Operating
104530-1,MAZINDE NGUWA,-4.79775,38.221,Northern,Tanga,Korogwe District Council,,,Dispensary,Public,Operating
104531-9,MAZINGA,,,Lake,Kagera,Muleba District Council,Mazinga,,Dispensary,Public,Operating
104532-7,MAZINGARA,-5.75187,38.26618,Northern,Tanga,Handeni District Council,Mazingara,428,Dispensary,Public,Operating
104533-5,MAZINGE,-5.64188,32.74164,Western,Tabora,Sikonge District Council,Mazinge,1135,Health Centre,Public,Operating
104536-8,MAZOMBE,-7.69668,35.96549,Southern Highlands,Iringa,Kilolo District Council,,1528,Dispensary,Public,Operating
104537-6,MAZWI,-7.965825,31.613261,Southern Highlands,Rukwa,Sumbawanga Municipal Council,Mazwi,,Health Centre,Public,Operating
104540-0,MBABALA A,-6.286447,35.622649,Central,Dodoma,Dodoma Municipal Council,Mbabala A,8101,Dispensary,Public,Operating
104541-8,MBABALA B,-6.30788,35.58338,Central,Dodoma,Dodoma Municipal Council,Mbabala 'B',1073,Dispensary,Public,Operating
104547-5,MBAGALA RANGI TATU,-6.91432,39.270642,Eastern,Dar es Salaam,Temeke Municipal Council,Zakhem,71,Hospital,Public,Operating
104549-1,MBAGHAI,-4.978385,38.384818,Northern,Tanga,Korogwe District Council,,,Dispensary,Public,Operating
104550-9,MBAGILWA,-6.36732,36.80574,Central,Dodoma,Kongwa District Council,Mbagilwa,1816,Dispensary,Public,Operating
104553-3,MBAHA,-10.68598,34.66173,Southern,Ruvuma,Nyasa District Council,Mbaha Dispensary,564,Dispensary,Public,Operating
104555-8,MBALAGANE,-3.37694,34.18567,Western,Simiyu,Meatu District Council,,1233,Dispensary,Public,Operating
104556-6,MBALATSE,-9.45547,34.38998,Southern Highlands,Njombe,Makete District Council,,,Dispensary,Public,Operating
104557-4,MBALAWALA,-5.998873,35.623216,Central,Dodoma,Dodoma Municipal Council,Mbalawala,1163,Dispensary,Public,Operating
104558-2,MBALE,-6.76694,39.21795,Eastern,Dar es Salaam,Kinondoni Municipal Council,Mbale,47,Clinic,Private,Operating
104559-0,MBALIBALI,-1.746574,34.708326,Lake,Mara,Serengeti District Council,Mbalibali Dispensary,1568,Dispensary,Public,Operating
104560-8,MBALIZI DISP,-8.93554,33.36035,Southern Highlands,Mbeya,Mbeya District Council,Mbalizi Dispensary,1438,Dispensary,Public,Operating
104561-6,MBALIZI JWTZ,-8.93554,33.3604,Southern Highlands,Mbeya,Mbeya District Council,,,Hospital,Public,Operating
104563-2,MBAMBA,,,Eastern,Morogoro,Kilosa District Council,,,Dispensary,Public,Operating
104564-0,MBAMBABAY,-11.28985,34.80495,Southern,Ruvuma,Nyasa District Council,Mbambay Health Centre,499,Health Centre,Public,Operating
104565-7,MBANDE,-6.98134,39.21298,Eastern,Dar es Salaam,Temeke Municipal Council,Mbande Dispensary,70,Dispensary,Public,Operating
104566-5,MBANDE,-6.6317,36.19219,Central,Dodoma,Kongwa District Council,Mbande,953,Dispensary,Public,Operating
104567-3,MBANGALA,-8.35409,32.9101,Southern Highlands,Mbeya,Chunya District Council,,,Dispensary,Public,Operating
104568-1,MBANGAMAO,-11.05127,35.0356,Southern,Ruvuma,Mbinga District Council,Mbangamao Dispensary,1296,Dispensary,Public,Operating
104570-7,MBANJA,-9.87877,39.74107,Southern,Lindi,Lindi Municipal Council,Mbanja,21,Dispensary,Public,Operating
104571-5,MBARALI DISTRICT,-8.71104,34.37474,Southern Highlands,Mbeya,Mbarali District Council,Mbarali,3615,Hospital,Public,Operating
104573-1,MBARAMO,-4.46031,38.3269,Northern,Tanga,Lushoto District Council,,,Dispensary,Public,Operating
104574-9,MBARIKA,-2.91393,32.83813,Lake,Mwanza,Misungwi District Council,Mbarika,1190,Health Centre,Public,Operating
104576-4,MBARU,,,Northern,Tanga,Lushoto District Council,Mbaru,,Dispensary,Public,Operating
104577-2,MBATAKERO,-3.352844,37.21721,Northern,Kilimanjaro,Hai District Council,,,Dispensary,Public,Operating
104578-0,MBATAMILA,-10.99901,36.96858,Southern,Ruvuma,Tunduru District Council,Mbatamila,720,Dispensary,Public,Operating
104579-8,MBATI,-11.30995,36.95874,Southern,Ruvuma,Tunduru District Council,Mbati,771,Dispensary,Public,Operating
104580-6,MBAWALA,-10.452092,40.118299,Southern,Mtwara,Mtwara District Council,Mbawala Dispensary,566,Dispensary,Public,Operating
104582-2,MBAYA,-9.60527,38.0794,Southern,Lindi,Liwale District Council,,430,Dispensary,Public,Operating
104583-0,MBAYA,-9.111533,32.934923,Southern Highlands,Mbeya,Mbozi District Council,Mbaya,,Dispensary,Private,Operating
104584-8,MBEBE,-9.324298,32.959673,Southern Highlands,Mbeya,Ileje District Council,,1390,Dispensary,Public,Operating
104585-5,MBEDE,-7.20448,31.3219,Southern Highlands,Katavi,Mlele District Council,Mbede,,Dispensary,Public,Operating
104586-3,MBEGA,-9.590823,34.547045,Southern Highlands,Njombe,Njombe Town Council,Mbega dispensary,2223,Dispensary,Public,Operating
104587-1,MBEGANI,-6.28397,38.5813,Eastern,Pwani,Bagamoyo District Council,Mbegani Fisheries Dispensary,11,Dispensary,Parastatal,Operating
104588-9,MBEKENYERA,-9.99117,38.9501,Southern,Lindi,Ruangwa District Council,mbekenyere,336,Dispensary,Public,Operating
104590-5,MBELEI,-4.83127,38.3985,Northern,Tanga,Bumbuli District Council,Mamba,,Dispensary,Public,Operating
104591-3,MBELEKESE,-4.65781,34.43215,Central,Singida,Iramba District Council,,1458,Dispensary,Public,Operating
104592-1,MBEMBA,-10.56958,38.95153,Southern,Mtwara,Masasi District Council,Mbemba,356,Dispensary,Public,Operating
104593-9,MBEMBALEO,-10.6999,39.9076,Southern,Mtwara,Mtwara District Council,Mbembaleo Dispensary,723,Dispensary,Public,Operating
104594-7,MBESA,-11.34665,37.06465,Southern,Ruvuma,Tunduru District Council,Mbesa Hospital,524,Hospital,Faith based organization,Operating
104598-8,MBEYA FAMILY MEDICAL CARE,-8.89356,33.4407,Southern Highlands,Mbeya,Mbeya City Council,Mbeya Family Medical Care,1730,Clinic,Private,Operating
104599-6,MBEYA LUTHERAN,-8.8967,33.5606,Southern Highlands,Mbeya,Mbeya City Council,Lutheran,,Dispensary,Faith based organization,Operating
104601-0,MBEYA REFFERAL,-8.8873,33.4387,Southern Highlands,Mbeya,Mbeya City Council,Meta,,Hospital,Public,Operating
104602-8,MBEYA REGIONAL,-8.91194,33.4458,Southern Highlands,Mbeya,Mbeya City Council,,,Hospital,Public,Operating
104603-6,MBEYA SURGICAL,-8.90882,33.4525,Southern Highlands,Mbeya,Mbeya City Council,Mbeya Surgical,,Clinic,Private,Operating
104604-4,MBEYATECHNICAL,-8.94233,33.414654,Southern Highlands,Mbeya,Mbeya City Council,"MUST, Mbeya Technical",1649,Dispensary,Public,Operating
104614-3,MBIMBI,-10.294,35.53875,Southern,Ruvuma,Namtumbo District Council,Mbimbi,911,Dispensary,Public,Operating
104615-0,MBINDI,-2.89426,31.45491,Lake,Kagera,Biharamulo District Council,Mbindi,,Dispensary,Public,Operating
104616-8,MBINGA,-10.94,34.989,Southern,Ruvuma,Mbinga District Council,Mbuyula,1327,Hospital,Public,Operating
104617-6,MBINGA HAN,-10.96074,35.01984,Southern,Ruvuma,Mbinga District Council,Mbinga Han,1286,Dispensary,Public,Operating
104618-4,MBINGA MHALULE,-10.7325,35.389,Southern,Ruvuma,Songea District Council,Mbinga Mhalule,,Dispensary,Faith based organization,Operating
104620-0,MBINGU SISTERS,,,Eastern,Morogoro,Kilombero District Council,Mbingu sister's,,Dispensary,Faith based organization,Operating
104623-4,MBOGWE,-4.1632,33.2645,Western,Tabora,Nzega District Council,Mbogwe Dispensary,1205,Dispensary,Public,Operating
104624-2,MBOKOMU,-3.30039,37.38338,Northern,Kilimanjaro,Moshi District Council,Sahoni,1168,Dispensary,Public,Operating
104625-9,MBOLA,,,Lake,Geita,Mbogwe District Council,,,Dispensary,Public,Operating
104627-5,MBONDE,-10.73878,38.74775,Southern,Mtwara,Masasi Town Council,Mbonde Dispensary,400,Dispensary,Public,Operating
104628-3,MBONDO,,,Southern,Lindi,Nachingwea District Council,,,Dispensary,Public,Operating
104630-9,MBONILE,-8.92737,33.7044,Southern Highlands,Mbeya,Mbeya District Council,Mbonile,1841,Dispensary,Public,Operating
104631-7,MBONO,,,Northern,Kilimanjaro,Same District Council,,,Dispensary,Public,Operating
104632-5,MBOOGA,-4.261707,32.55,Western,Tabora,Nzega District Council,Mbooga Dispensary,1252,Dispensary,Public,Operating
104633-3,MBOPO,-6.69106,39.11076,Eastern,Dar es Salaam,Kinondoni Municipal Council,Mbopo,123,Dispensary,Public,Operating
104634-1,MBORE,-3.69918,37.6828,Northern,Kilimanjaro,Mwanga District Council,,,Dispensary,Public,Operating
104635-8,MBORI,-6.2716,36.3778,Central,Dodoma,Mpwapwa District Council,,866,Dispensary,Public,Operating
104636-6,MBOSHO RC,-3.27852,37.14916,Northern,Kilimanjaro,Hai District Council,,,Dispensary,Faith based organization,Operating
104637-4,MBOZI,-9.03357,32.9288,Southern Highlands,Mbeya,Mbozi District Council,,,Hospital,Public,Operating
104639-0,MBUBA,-2.66449,30.60094,Lake,Kagera,Ngara District Council,Mbuba,1469,Dispensary,Public,Operating
104640-8,MBUCHI,-8.10466,39.3108,Eastern,Pwani,Rufiji District Council,Mbuchi,13,Dispensary,Public,Operating
104641-6,MBUGA,-6.98703,36.61079,Central,Dodoma,Mpwapwa District Council,,1756,Dispensary,Public,Operating
104642-4,MBUGA,-8.99362,36.86366,Eastern,Morogoro,Ulanga District Council,Mbuga,380,Dispensary,Public,Operating
104643-2,MBUGA RC,-6.98172,36.61218,Central,Dodoma,Mpwapwa District Council,,1741,Dispensary,Faith based organization,Operating
104644-0,MBUGA NYEKUNDU,-3.535827,35.374898,Northern,Arusha,Karatu District Council,,1080,Health Centre,Public,Operating
104647-3,MBUGANI,-2.52256,32.91834,Lake,Mwanza,Nyamagana Municipal Council,Mbugani,1190,Dispensary,Public,Operating
104648-1,MBUGANI,-8.83703,34.9437,Southern Highlands,Njombe,Makambako Town Council,Mbugani,1666,Dispensary,Public,Operating
104649-9,MBUGAYABAHYA,-3.35522,34.25908,Western,Simiyu,Meatu District Council,,1237,Dispensary,Public,Operating
104650-7,MBUGULAJI,,,Southern,Ruvuma,Tunduru District Council,Mbungulaji,797,Dispensary,Public,Operating
104651-5,MBUGUNI,-3.55268,36.917,Northern,Arusha,Meru District Council,,949,Health Centre,Public,Operating
104653-1,MBULI,-10.81415,34.68201,Southern,Ruvuma,Nyasa District Council,Mbuli Dispensary,479,Dispensary,Public,Operating
104654-9,MBULU,-3.86071,35.5441,Northern,Manyara,Mbulu District Council,,,Hospital,Public,Operating
104655-6,MBULU RC,-3.833,32.64231,Western,Shinyanga,Kahama Town Council,Mission,1214,Dispensary,Faith based organization,Operating
104656-4,MBULUMA,-8.04447,31.42358,Southern Highlands,Rukwa,Kalambo District Council,Mbuluma,1753,Dispensary,Public,Operating
104658-0,MBURAHATI,-6.80521,39.24222,Eastern,Dar es Salaam,Kinondoni Municipal Council,Mburahati,22,Dispensary,Public,Operating
104660-6,MBURUSA,-11.138361,38.242933,Southern,Mtwara,Nanyumbu District Council,,314,Dispensary,Public,Operating
104661-4,MBUSHI,-3.62035,34.51393,Western,Simiyu,Meatu District Council,,1224,Dispensary,Public,Operating
104662-2,MBUTU,-4.234,33.89745,Western,Tabora,Igunga District Council,Mbutu,1083,Dispensary,Public,Operating
104663-0,MBUTU,-4.23401,33.8975,Western,Tabora,Nzega District Council,Mbutu,1083,Dispensary,Public,Operating
104664-8,MBUTU,-6.894937,39.482034,Eastern,Dar es Salaam,Temeke Municipal Council,,21,Dispensary,Public,Operating
104665-5,MBUYA,-6.82515,37.67001,Eastern,Morogoro,Morogoro Municipal Council,,515,Dispensary,Private,Operating
104668-9,MBUYUNI,-3.2842,36.1218,Northern,Arusha,Monduli District Council,Sironga,1364,Dispensary,Public,Operating
104671-3,MBUYUNI,-8.83292,34.1852,Southern Highlands,Mbeya,Mbarali District Council,Mbuyuni Dispensary,1103,Dispensary,Public,Operating
104672-1,MBUYUNI,-10.910363,39.04495,Southern,Mtwara,Masasi District Council,Mbuyuni Dispensary,,Dispensary,Public,Operating
104673-9,MBUYUNI,-3.574294,36.65867,Northern,Arusha,Arusha District Council,,1060,Health Centre,Public,Operating
104675-4,MBUZA,-8.27802,31.44773,Southern Highlands,Rukwa,Kalambo District Council,Mbuza,1661,Dispensary,Public,Operating
104676-2,MBUZII,-4.85714,38.34227,Northern,Tanga,Bumbuli District Council,Mbuzii,1319,Dispensary,Public,Operating
104678-8,MBWARA,-8.24029,39.0219,Eastern,Pwani,Rufiji District Council,Mbwara,144,Dispensary,Public,Operating
104679-6,MBWASA,,,Central,Singida,Manyoni District Council,,,Clinic,Faith based organization,Operating
104680-4,MBWAWA,-6.64531,38.7801,Eastern,Pwani,Kibaha Town Council,Mbwawa,79,Dispensary,Public,Operating
104681-2,MBWEMKURU,-9.57023,39.4908,Southern,Lindi,Kilwa District Council,,,Dispensary,Public,Operating
104682-0,MBWENI,-6.57848,39.13226,Eastern,Dar es Salaam,Kinondoni Municipal Council,Mbweni,11,Dispensary,Public,Operating
104683-8,MBWENI B,-6.57652,39.1432,Eastern,Dar es Salaam,Kinondoni Municipal Council,Mbweni B,11,Dispensary,Parastatal,Operating
104684-6,MBWENI MISSION,-6.57999,39.12739,Eastern,Dar es Salaam,Kinondoni Municipal Council,Mbweni Mission,14,Hospital,Faith based organization,Operating
104685-3,MBWERA,-8.11009,39.3757,Eastern,Pwani,Rufiji District Council,Mbwera,9,Health Centre,Public,Operating
104686-1,MBWEWE,-6.07665,38.2464,Eastern,Pwani,Bagamoyo District Council,Mbwewe Dispensary,407,Dispensary,Public,Operating
104687-9,MBWILA,-9.93945,34.58801,Southern Highlands,Njombe,Ludewa District Council,Mbwila,1459,Dispensary,Public,Operating
104688-7,MCHARO,-2.01478,33.9459,Lake,Mara,Bunda District Council,Mcharo disp,1353,Dispensary,Public,Operating
104690-3,MCHICHIRA,-10.89594,39.62944,Southern,Mtwara,Tandahimba District Council,Mchichira,281,Dispensary,Public,Operating
104691-1,MCHINGA,-9.743401,39.70862,Southern,Lindi,Lindi District Council,Mchinga,,Dispensary,Public,Operating
104692-9,MCHINGA,,,Eastern,Pwani,Rufiji District Council,Mchinga,16,Dispensary,Public,Operating
104693-7,MCHOMBE,-8.31667,36.1167,Eastern,Morogoro,Kilombero District Council,,,Dispensary,Faith based organization,Operating
104694-5,MCHOMORO,-10.35085,36.19962,Southern,Ruvuma,Namtumbo District Council,Mchomoro,1026,Dispensary,Public,Operating
104695-2,MCHOTEKA,-11.449,36.885,Southern,Ruvuma,Tunduru District Council,,,Health Centre,Public,Operating
104696-0,MCHUKWI,-7.76174,38.9991,Eastern,Pwani,Rufiji District Council,Mchukwi,109,Dispensary,Public,Operating
104697-8,MCHUKWI MISSION,-7.77026,39.0248,Eastern,Pwani,Rufiji District Council,Mchukwi Mision,133,Hospital,Faith based organization,Operating
104698-6,MCHUNGU,-7.71505,39.2856,Eastern,Pwani,Rufiji District Council,Mchungu,12,Dispensary,Public,Operating
104699-4,MCHURUKA,-11.00939,37.45721,Southern,Ruvuma,Tunduru District Council,Mchuluka,540,Dispensary,Public,Operating
104700-0,MDABULO,-8.5036,35.5124,Southern Highlands,Iringa,Mufindi District Council,Mdabulo,1876,Dispensary,Faith based organization,Operating
104702-6,MDANDU,-9.148297,34.695201,Southern Highlands,Njombe,Wanging'ombe District Council,Zahanati ya Mdandu,1813,Dispensary,Public,Operating
104703-4,MDENDE,-7.31971,31.36658,Southern Highlands,Katavi,Mlele District Council,Mdende,,Dispensary,Private,Operating
104704-2,MDILU,-4.58902,34.99249,Central,Singida,Singida District Council,Mdilu,,Dispensary,Public,Operating
104705-9,MDIMBA SUDI,-10.75981,39.47409,Southern,Mtwara,Tandahimba District Council,Mdimba,403,Dispensary,Public,Operating
104706-7,MDIMNI,,,Eastern,Pwani,Mkuranga District Council,,,Dispensary,Public,Operating
104707-5,MDWEMA,-10.37115,35.51806,Southern,Ruvuma,Namtumbo District Council,Mdwema,984,Dispensary,Public,Operating
104708-3,MEA - MTWARO,-11.24939,37.5617,Southern,Ruvuma,Tunduru District Council,Meamtwaro,427,Dispensary,Public,Operating
104709-1,MEATU,-3.51901,34.30824,Western,Simiyu,Meatu District Council,,1198,Hospital,Public,Operating
104710-9,MEATU PENTECOSTE,-3.52312,34.31271,Western,Simiyu,Meatu District Council,,1187,Dispensary,Faith based organization,Operating
104713-3,MEDEWELL,-6.79118,39.0016,Eastern,Pwani,Kibaha Town Council,Medwell,,Health Centre,Faith based organization,Operating
104716-6,MEDICAL RESEARCH (NIMR),-2.48916,32.8975,Lake,Mwanza,Ilemela Municipal Council,NIMR,,Health Centre,Parastatal,Operating
104720-8,MEIGHS,,,Eastern,Morogoro,Kilombero District Council,,,Dispensary,Private,Operating
104721-6,MEIG'S BUNJU,-6.6191,39.0968,Eastern,Dar es Salaam,Kinondoni Municipal Council,MeigÃ‚Â´s Bunju,72,Dispensary,Private,Operating
104723-2,MEKA,-5.43291,38.8806,Northern,Tanga,Pangani District Council,,42,Dispensary,Public,Operating
104724-0,MEKOMARIRO,-1.835,34.203,Lake,Mara,Bunda District Council,Mekomariro,1368,Dispensary,Public,Operating
104725-7,MELELA,-6.92336,37.42855,Eastern,Morogoro,Mvomero District Council,Melela,,Health Centre,Public,Operating
104726-5,MEMBE,-5.892263,36.172407,Central,Dodoma,Chamwino District Council,Membe,1000,Dispensary,Public,Operating
104727-3,MEMBERS NURAIFO,,,Eastern,Dar es Salaam,Ilala Municipal Council,,,Dispensary,Private,Operating
104729-9,MENDO,-3.73554,32.97659,Western,Shinyanga,Shinyanga District Council,Mendo dispensary,1180,Dispensary,Public,Operating
104730-7,MENGENI KITASHA,-3.18839,37.61667,Northern,Kilimanjaro,Rombo District Council,Mengeni Kitasha Dispensary,1390,Dispensary,Public,Operating
104731-5,MENGWE CHINI,-3.274796,37.640981,Northern,Kilimanjaro,Rombo District Council,Mengwe Chini Dispensary,,Dispensary,Public,Operating
104732-3,MENGWE JUU,-3.25679,37.61118,Northern,Kilimanjaro,Rombo District Council,Mengwe Juu Dispensary,1454,Dispensary,Public,Operating
104733-1,MENONITE,-3.87465,32.76122,Western,Shinyanga,Kahama Town Council,menonite kagongwa,1441,Dispensary,Faith based organization,Operating
104735-6,MENONITE,-3.33802,31.5233,Lake,Geita,Bukombe District Council,Menonite,1217,Dispensary,Faith based organization,Operating
104736-4,MENONITE LAMADI,-2.1441,33.5049,Western,Simiyu,Busega District Council,Menonaiti Dsp,,Dispensary,Private,Operating
104738-0,MENONITE NYIHOGO,-3.83673,32.59016,Western,Shinyanga,Kahama Town Council,matina,1263,Dispensary,Private,Operating
104740-6,MERENGA,-1.630108,34.653015,Lake,Mara,Serengeti District Council,Merenga Dispensary,1370,Dispensary,Public,Operating
104742-2,MERERANI RC,-3.67004,37.1281,Northern,Manyara,Simanjiro District Council,R.C Mirerani,928,Dispensary,Faith based organization,Operating
104743-0,MERESINI,-3.3686,37.54626,Northern,Kilimanjaro,Moshi District Council,,914,Dispensary,Private,Operating
104744-8,MERR,-4.10739,35.58061,Northern,Manyara,Babati District Council,Merr Dispensary,1833,Dispensary,Public,Operating
104746-3,MERYA,-4.68036,34.9642,Central,Singida,Singida District Council,Merya,,Dispensary,Faith based organization,Operating
104747-1,MESERANI JUU,,,Northern,Arusha,Monduli District Council,Duka Bovu,,Dispensary,Public,Operating
104748-9,MEWADAN,-4.24695,34.99977,Northern,Manyara,Mbulu District Council,Mewadan,1632,Dispensary,Private,Operating
104751-3,MFEREJI,-3.15113,36.40545,Northern,Arusha,Monduli District Council,Mfereji,1219,Dispensary,Public,Operating
104752-1,MFINGA,-3.67006,37.63428,Northern,Kilimanjaro,Mwanga District Council,Mfinga,1456,Dispensary,Public,Operating
104753-9,MFINGA,-7.50747,31.4342,Southern Highlands,Rukwa,Sumbawanga District Council,,,Dispensary,Public,Operating
104754-7,MFISINI,-7.85461,39.35167,Eastern,Pwani,Rufiji District Council,Mfisini,12,Dispensary,Public,Operating
104755-4,MFRIGA,,,Southern Highlands,Njombe,Njombe District Council,Mfriga,,Dispensary,Public,Operating
104756-2,MFUKULEMBE,-8.22493,35.46977,Southern Highlands,Iringa,Iringa District Council,Mission,1845,Dispensary,Faith based organization,Operating
104757-0,MFUMBI,-8.85518,34.09595,Southern Highlands,Njombe,Makete District Council,,,Dispensary,Public,Operating
104758-8,MFUMBWE,-6.8945,37.82123,Eastern,Morogoro,Morogoro District Council,Mfumbwe,459,Dispensary,Public,Operating
104759-6,MFUTO,-8.798999,32.33388,Southern Highlands,Mbeya,Momba District Council,MFUTO,,Dispensary,Public,Operating
104760-4,MFYOME,-7.63397,35.61492,Southern Highlands,Iringa,Iringa District Council,Mfyome Dispensary,1347,Dispensary,Public,Operating
104761-2,MGAGAO,-3.9109,37.65413,Northern,Kilimanjaro,Mwanga District Council,Mgagao Dispensary,1000,Dispensary,Public,Operating
104762-0,MGALA,-9.53587,35.24223,Southern Highlands,Njombe,Njombe Town Council,Mgala dispensary,,Dispensary,Public,Operating
104764-6,MGAMA,-8.02044,35.59259,Southern Highlands,Iringa,Iringa District Council,Mgama HC,1747,Health Centre,Public,Operating
104765-3,MGAMBAZI,-5.65522,30.0245,Western,Kigoma,Uvinza District Council,,,Dispensary,Public,Operating
104766-1,MGAMBO,-5.96667,29.8667,Western,Kigoma,Uvinza District Council,,,Dispensary,Public,Operating
104767-9,MGAMBO,-5.04592,38.61292,Northern,Tanga,Muheza District Council,Mgambo,1024,Health Centre,Public,Operating
104769-5,MGANDU,-5.96448,34.1249,Central,Singida,Manyoni District Council,,,Dispensary,Public,Operating
104770-3,MGANZA,-5.13863,30.8959,Western,Kigoma,Uvinza District Council,,,Dispensary,Public,Operating
104771-1,MGAO,-10.1351,39.982495,Southern,Mtwara,Mtwara District Council,Mgao Dispensary,43,Dispensary,Public,Operating
104772-9,MGARAGANZA,-4.76404,29.64492,Western,Kigoma,Kigoma District Council,Mgaraganza Dispensary,987,Dispensary,Public,Operating
104774-5,MGAZINI,-10.4666,35.33292,Southern,Ruvuma,Songea District Council,Mgazini,1057,Dispensary,Public,Operating
104775-2,MGERA,-5.3863,37.5149,Northern,Tanga,Kilindi District Council,,,Dispensary,Public,Operating
104776-0,MGETA,-7.3495,37.3467,Eastern,Morogoro,Mvomero District Council,,,Health Centre,Public,Operating
104777-8,MGETA MISSION,-7.03808,37.75127,Eastern,Morogoro,Mvomero District Council,Mgeta Mission,1066,Dispensary,Faith based organization,Operating
104778-6,MGILA,-5.004264,38.492612,Northern,Tanga,Korogwe District Council,MGILA,414,Dispensary,Public,Operating
104781-0,MGOLOLO,-8.72758,35.3072,Southern Highlands,Iringa,Mufindi District Council,Mgololo health centre,1250,Health Centre,Public,Operating
104783-6,MGOMBASI,-10.17495,36.0206,Southern,Ruvuma,Namtumbo District Council,Zahanati ya Mgombasi,785,Dispensary,Public,Operating
104784-4,MGOMBEZI,-5.1678,38.41789,Northern,Tanga,Korogwe Town Council,,347,Dispensary,Public,Operating
104785-1,MGONGO,-2.16017,35,Northern,Arusha,Ngorongoro District Council,,,Dispensary,Public,Operating
104788-5,MGONGO,-4.33139,34.1556,Central,Singida,Iramba District Council,,,Health Centre,Public,Operating
104790-1,MGORI,-4.85328,34.97755,Central,Singida,Singida District Council,Mgori,,Health Centre,Public,Operating
104791-9,MGULANI JKT,-6.851856,39.278794,Eastern,Dar es Salaam,Temeke Municipal Council,Mgulani JKT,28,Health Centre,Public,Operating
104792-7,MGULANI TPDF,-6.860559,39.27769,Eastern,Dar es Salaam,Temeke Municipal Council,JWTZ,37,Dispensary,Public,Operating
104793-5,MGUNGA,-6.27987,36.119505,Central,Dodoma,Chamwino District Council,Mgunga,947,Dispensary,Public,Operating
104795-0,MGUNGIRA,-5.00973,34.01144,Central,Singida,Ikungi District Council,Mgungira,1042,Dispensary,Public,Operating
104796-8,MGWASHI,-4.77283,38.49659,Northern,Tanga,Bumbuli District Council,Mgwashi,1441,Health Centre,Public,Operating
104797-6,MHAJI,-9.16783,34.761281,Southern Highlands,Njombe,Wanging'ombe District Council,Muhaji,3795,Dispensary,Public,Operating
104798-4,MHALE,-7.177,37.5438,Eastern,Morogoro,Mvomero District Council,,,Dispensary,Public,Operating
104799-2,MHAMBA,-5.31231,38.64047,Northern,Tanga,Muheza District Council,Mhamba,1514,Health Centre,Public,Operating
104801-6,MHARAMBA,-2.58474,32.0074,Lake,Geita,Geita District Council,Muharamba,1144,Dispensary,Public,Operating
104802-4,MHENDA,-7.17432,36.9263,Eastern,Morogoro,Kilosa District Council,,,Dispensary,Public,Operating
104803-2,MHEZI,-4.14942,37.8802,Northern,Kilimanjaro,Same District Council,mteke dispensary,1789,Dispensary,Public,Operating
104804-0,MHIMBIRA,-8.85561,34.0313,Southern Highlands,Mbeya,Mbarali District Council,Muhimbira Dispensary,1146,Dispensary,Private,Operating
104805-7,MHINDURO,-4.93077,38.8003,Northern,Tanga,Mkinga District Council,Mhinduro,258,Dispensary,Public,Operating
104806-5,MHONDA MISSION,,,Eastern,Morogoro,Mvomero District Council,,,Dispensary,Faith based organization,Operating
104807-3,MHONGOZI,-10.72035,34.94204,Southern,Ruvuma,Mbinga District Council,Mhongozi Dispensary,1299,Dispensary,Public,Operating
104808-1,MHUNZE,-2.9649,34.22388,Western,Simiyu,Itilima District Council,Mhunze.,1384,Dispensary,Public,Operating
104809-9,MHUNZE,-3.62046,33.80811,Western,Shinyanga,Kishapu District Council,MHUNZE BAKWATA,1125,Dispensary,Faith based organization,Operating
104814-9,MIBIKIMITALI,-8.07186,35.3256,Southern Highlands,Iringa,Iringa District Council,Mibikimitali Dispensary,,Dispensary,Public,Operating
104815-6,MIBONO,-5.88281,32.981,Western,Tabora,Sikonge District Council,Mibono,1162,Dispensary,Public,Operating
104816-4,MICHENGA,-8.108,36.657,Eastern,Morogoro,Kilombero District Council,Michenga,,Dispensary,Public,Operating
104817-2,MICHENGA,-10.3326,38.9939,Southern,Lindi,Ruangwa District Council,Michenga,,Dispensary,Public,Operating
104818-0,MICHENJELE,-10.80084,39.87867,Southern,Mtwara,Tandahimba District Council,Michenjele,220,Dispensary,Public,Operating
104819-8,MICHESE,-6.20799,35.67606,Central,Dodoma,Dodoma Municipal Council,Michese,1136,Dispensary,Public,Operating
104821-4,MICHIGA,-10.925836,38.167447,Southern,Mtwara,Nanyumbu District Council,Michiga Hospital,413,Health Centre,Public,Operating
104823-0,MICO,-6.43689,38.3039,Eastern,Morogoro,Kilosa District Council,,,Dispensary,Private,Operating
104826-3,MICO,-6.40475,38.134,Eastern,Pwani,Bagamoyo District Council,Mico Disp,277,Dispensary,Private,Operating
104827-1,MICO,-6.76877,38.3547,Eastern,Pwani,Kibaha District Council,Gumba kwa sama,208,Dispensary,Faith based organization,Operating
104830-5,MICO AMANI,-6.87921,39.24726,Eastern,Dar es Salaam,Temeke Municipal Council,Amani Dispensary,46,Dispensary,Faith based organization,Operating
