FACILITY_ID_NUMBER,FACILITY_NAME,LATITUDE,LONGITUDE,ZONE,REGION,COUNCIL,COMMON FACILITY HEALTH NAME,ALTITUDE,FACILITY TYPE,OWNERSHIP,OPERATING_STATUS
100157-7,ARAFA MAPINDUZI,-6.927091,39.265052,Eastern,Dar es Salaam,Temeke Municipal Council,,70,Dispensary,Faith based organization,Operating
100158-5,ARAFA MBAGALA KUU,-6.89674,39.283081,Eastern,Dar es Salaam,Temeke Municipal Council,Arafa Mbagala kuu dispensary,59,Dispensary,Faith based organization,Operating
100159-3,ARAFA MBEZI,-6.783336,39.11571,Eastern,Dar es Salaam,Kinondoni Municipal Council,Arafa Mbezi Luis,160,Dispensary,Private,Operating
100161-9,ARAFA MWANANCHI .,-6.79292,39.18691,Eastern,Dar es Salaam,Kinondoni Municipal Council,Arafa Mwananchi,112,Dispensary,Faith based organization,Operating
100162-7,ARAFA NHC,-6.79208,39.21271,Eastern,Dar es Salaam,Kinondoni Municipal Council,Arafa N.H.C,68,Dispensary,Faith based organization,Operating
100163-5,ARAFA NEEMA,-6.915506,39.122823,Eastern,Dar es Salaam,Ilala Municipal Council,Arafa Kigogo fresh,105,Dispensary,Private,Operating
100164-3,ARAFA RANGITATU,-6.918501,39.270485,Eastern,Dar es Salaam,Temeke Municipal Council,Arafa Samasi,,Dispensary,Faith based organization,Operating
100166-8,ARAFA SES CHARITABLE,-6.844491,39.196949,Eastern,Dar es Salaam,Ilala Municipal Council,Arafa Segerea,,Dispensary,Private,Operating
100167-6,ARAFA TEMBO MGWAZA,-6.826625,39.189662,Eastern,Dar es Salaam,Ilala Municipal Council,Tembo Mgwaza Dispensary,93,Dispensary,Private,Operating
100168-4,ARAFA UGWENO,-6.867199,39.259083,Eastern,Dar es Salaam,Temeke Municipal Council,arafa ugweno h/c,56,Health Centre,Faith based organization,Operating
100169-2,ARAFA UPENDO,-6.85673,39.2625,Eastern,Dar es Salaam,Temeke Municipal Council,Quick Moscow,,Health Centre,Private,Operating
100171-8,ARAFA-KIPARANG'ANDA,-7.14991,39.1803,Eastern,Pwani,Mkuranga District Council,,117,Dispensary,Faith based organization,Operating
100172-6,ARAFA-MSOMEN,,,Eastern,Pwani,Mkuranga District Council,Tayma Msomeni,,Dispensary,Faith based organization,Operating
100173-4,ARASH,-2.3769,35.50596,Northern,Arusha,Ngorongoro District Council,Arash,1895,Dispensary,Faith based organization,Operating
100174-2,ARDHI,-5.04005,32.826,Western,Tabora,Tabora Municipal Council,,,Dispensary,Parastatal,Operating
100176-7,ARDHI INSTITUTE,-6.82639,37.67594,Eastern,Morogoro,Morogoro Municipal Council,,532,Dispensary,Parastatal,Operating
100179-1,ARKATAN,-3.24778,36.1898,Northern,Arusha,Monduli District Council,Mti Mmoja,1345,Dispensary,Public,Operating
100182-5,ARRI,,,Northern,Manyara,Mbulu District Council,,,Dispensary,Public,Operating
100183-3,ARRI TSAAYO,-4.24142,35.58945,Northern,Manyara,Babati District Council,Arri Tsaayo,1653,Dispensary,Public,Operating
100184-1,ARUMERU,-3.3706,36.786839,Northern,Arusha,Meru District Council,Meru,1304,Hospital,Public,Operating
100185-8,ARUSHA,-3.37955,36.70607,Northern,Arusha,Arusha City Council,Arusha & Labaratory Dispensary,1396,Dispensary,Private,Operating
100187-4,ARUSHA HOSPITAL FOR WOMEN,-3.36106,36.68535,Northern,Arusha,Arusha City Council,Kwa Dr Wanjara,1447,Health Centre,Private,Operating
100188-2,ARUSHA LUTHERAN CENTER,-3.36626,36.6823,Northern,Arusha,Arusha City Council,,,Hospital,Faith based organization,Operating
100189-0,ARUSHA MED CENTRE,-3.37636,36.698442,Northern,Arusha,Arusha City Council,Kwa Dr Chamba,1396,Dispensary,Private,Operating
100190-8,ARUSHA SCHOOL,,,Northern,Arusha,Arusha City Council,,,Dispensary,Private,Operating
100192-4,ARUSHA X-RAY CENTER,-3.36579,36.699,Northern,Arusha,Arusha City Council,,,Dispensary,Private,Operating
100193-2,ASAMATWA,-5.31823,36.56773,Northern,Manyara,Kiteto District Council,Asamatwa,1520,Dispensary,Public,Operating
100194-0,ASANJE,-5.734873,35.72171,Central,Dodoma,Bahi District Council,Asanje,4,Dispensary,Public,Operating
100195-7,ASANTE NYERERE,-4.866151,30.348197,Western,Kigoma,Kasulu District Council,Zahanati ya Asante Nyerere,1164,Dispensary,Public,Operating
100197-3,ATTA,-4.527112,35.903687,Central,Dodoma,Kondoa District Council,,,Dispensary,Public,Operating
100200-5,AVIATION,-6.82779,39.25728,Eastern,Dar es Salaam,Ilala Municipal Council,Aviation,40,Dispensary,Private,Operating
100202-1,AYALABE,-3.35739,35.689692,Northern,Arusha,Karatu District Council,,1481,Dispensary,Public,Operating
100203-9,AYASANDA,-4.33594,35.69565,Northern,Manyara,Babati District Council,Ayasanda,1389,Dispensary,Public,Operating
100204-7,AZANIA,-6.81638,39.25362,Eastern,Dar es Salaam,Kinondoni Municipal Council,Azania,20,Dispensary,Private,Operating
100205-4,AZIMIO,-5.03,32.80929,Western,Tabora,Uyui District Council,Azimio,1212,Dispensary,Public,Operating
100207-0,AZIMIO,-11.17379,37.2627,Southern,Ruvuma,Tunduru District Council,Azimio,662,Dispensary,Public,Operating
100210-4,BANK OF TANZANIA HQ,-6.81464,39.29298,Eastern,Dar es Salaam,Ilala Municipal Council,B.O.T Clinic,,Dispensary,Parastatal,Operating
100211-2,BABATI,,,Northern,Manyara,Babati Town Council,Mrara,,Hospital,Public,Operating
100214-6,BABAYU,-5.626108,35.703579,Central,Dodoma,Chemba District Council,Babayu,1125,Dispensary,Public,Operating
100215-3,BABAYU,-5.638693,35.703269,Central,Dodoma,Bahi District Council,Babayu,3,Dispensary,Public,Operating
100218-7,BADUGU,,,Western,Simiyu,Busega District Council,Badugu,,Dispensary,Public,Operating
100220-3,BAGA,-4.7721,38.42585,Northern,Tanga,Bumbuli District Council,Baga,1510,Dispensary,Public,Operating
100221-1,BAGAMOYO,-6.26231,38.5443,Eastern,Pwani,Bagamoyo District Council,Bagamoyo Distr Hospital,1,Hospital,Public,Operating
100225-2,BAGO,-5.33036,39.03235,Northern,Tanga,Muheza District Council,Bago,27,Dispensary,Private,Operating
